date,region,rw,population,inference,cases,hospit,deaths,cases_smoothed,hospit_smoothed,deaths_smoothed,cases_per_100000,hospit_per_100000,deaths_per_100000,cases_incidence,hospit_incidence,deaths_incidence,cumulative_cases,cumulative_hospit,cumulative_deaths
2020-06-22,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-06-23,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-06-24,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-06-25,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-06-26,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-06-27,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-06-28,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-06-29,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-06-30,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-01,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-02,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-03,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-04,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-05,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-06,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-07,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-08,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-09,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-10,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-11,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-12,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-13,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-14,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-15,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-16,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-17,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-18,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-19,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-20,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-21,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-22,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-23,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-24,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-25,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-26,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-27,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-28,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-29,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-30,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-07-31,capital,1,1855084,false,,,,,,,,,,,,,,,
2020-08-01,capital,2,1855084,false,10,0,0,19.714285714285715,0.8571428571428571,0.0,0.539059147725925,0.0,0.0,7.331204409072582,0.4312473181807401,0.0,7942,1395,356
2020-08-02,capital,3,1855084,false,21,0,0,20.714285714285715,1.0,0.14285714285714285,1.1320242102244427,0.0,0.0,7.816357642025914,0.3773414034081476,0.0,7963,1395,356
2020-08-03,capital,4,1855084,false,21,1,0,22.0,0.7142857142857143,0.14285714285714285,1.1320242102244427,0.05390591477259251,0.0,7.708545812480728,0.32343548863555505,0.0,7984,1396,356
2020-08-04,capital,5,1855084,false,25,1,0,23.0,1.0,0.14285714285714285,1.3476478693148126,0.05390591477259251,0.0,7.439016238617766,0.32343548863555505,0.0,8009,1397,356
2020-08-05,capital,6,1855084,false,29,3,1,24.285714285714285,1.0,0.2857142857142857,1.5632715284051826,0.16171774431777752,0.05390591477259251,7.816357642025914,0.3773414034081476,0.05390591477259251,8038,1400,357
2020-08-06,capital,7,1855084,false,35,0,0,27.142857142857142,1.0,0.42857142857142855,1.8867070170407378,0.0,0.0,8.301510874979247,0.2695295738629625,0.05390591477259251,8073,1400,357
2020-08-07,capital,8,1855084,false,20,2,0,30.285714285714285,1.0,0.42857142857142855,1.07811829545185,0.10781182954518502,0.0,8.678852278387394,0.3773414034081476,0.05390591477259251,8093,1402,357
2020-08-08,capital,9,1855084,false,19,0,1,32.42857142857143,1.0,0.42857142857142855,1.0242123806792576,0.0,0.05390591477259251,9.164005511340727,0.3773414034081476,0.10781182954518502,8112,1402,358
2020-08-09,capital,10,1855084,false,41,0,1,35.142857142857146,0.7142857142857143,0.2857142857142857,2.2101425056762927,0.0,0.05390591477259251,10.242123806792577,0.3773414034081476,0.16171774431777752,8153,1402,359
2020-08-10,capital,11,1855084,false,43,1,0,35.0,1.0,0.2857142857142857,2.317954335221478,0.05390591477259251,0.0,11.428053931789611,0.3773414034081476,0.16171774431777752,8196,1403,359
2020-08-11,capital,12,1855084,false,40,1,0,39.0,1.0,0.2857142857142857,2.1562365909037,0.05390591477259251,0.0,12.2366426533785,0.3773414034081476,0.16171774431777752,8236,1404,359
2020-08-12,capital,13,1855084,false,48,1,0,39.857142857142854,1.0,0.14285714285714285,2.5874839090844404,0.05390591477259251,0.0,13.260855034057759,0.2695295738629625,0.10781182954518502,8284,1405,359
2020-08-13,capital,14,1855084,false,34,2,0,38.285714285714285,1.1428571428571428,0.0,1.8328011022681454,0.10781182954518502,0.0,13.206949119285165,0.3773414034081476,0.10781182954518502,8318,1407,359
2020-08-14,capital,15,1855084,false,48,2,0,36.285714285714285,1.2857142857142858,0.0,2.5874839090844404,0.10781182954518502,0.0,14.716314732917754,0.3773414034081476,0.10781182954518502,8366,1409,359
2020-08-15,capital,16,1855084,false,25,0,0,36.285714285714285,1.2857142857142858,0.0,1.3476478693148126,0.0,0.0,15.03975022155331,0.3773414034081476,0.05390591477259251,8391,1409,359
2020-08-16,capital,17,1855084,false,30,1,0,34.285714285714285,1.2857142857142858,0.0,1.617177443177775,0.05390591477259251,0.0,14.446785159054793,0.4312473181807401,0.0,8421,1410,359
2020-08-17,capital,18,1855084,false,29,2,0,32.857142857142854,1.1428571428571428,0.0,1.5632715284051826,0.10781182954518502,0.0,13.692102352238496,0.48515323295333257,0.0,8450,1412,359
2020-08-18,capital,19,1855084,false,40,1,0,30.142857142857142,0.8571428571428571,0.0,2.1562365909037,0.05390591477259251,0.0,13.692102352238496,0.48515323295333257,0.0,8490,1413,359
2020-08-19,capital,20,1855084,false,34,1,0,30.714285714285715,1.1428571428571428,0.0,1.8328011022681454,0.05390591477259251,0.0,12.9374195454222,0.48515323295333257,0.0,8524,1414,359
2020-08-20,capital,21,1855084,false,24,1,0,29.714285714285715,1.1428571428571428,0.0,1.2937419545422202,0.05390591477259251,0.0,12.398360397696274,0.4312473181807401,0.0,8548,1415,359
2020-08-21,capital,22,1855084,false,29,0,0,29.142857142857142,1.0,0.0,1.5632715284051826,0.0,0.0,11.374148017017019,0.32343548863555505,0.0,8577,1415,359
2020-08-22,capital,23,1855084,false,29,2,0,28.571428571428573,1.1428571428571428,0.0,1.5632715284051826,0.10781182954518502,0.0,11.58977167610739,0.4312473181807401,0.0,8606,1417,359
2020-08-23,capital,24,1855084,false,23,1,0,28.857142857142858,1.2857142857142858,0.0,1.2398360397696278,0.05390591477259251,0.0,11.21243027269924,0.4312473181807401,0.0,8629,1418,359
2020-08-24,capital,25,1855084,false,25,1,0,28.714285714285715,1.1428571428571428,0.0,1.3476478693148126,0.05390591477259251,0.0,10.996806613608872,0.3773414034081476,0.0,8654,1419,359
2020-08-25,capital,26,1855084,false,36,2,0,30.571428571428573,1.4285714285714286,0.0,1.9406129318133303,0.10781182954518502,0.0,10.781182954518501,0.4312473181807401,0.0,8690,1421,359
2020-08-26,capital,27,1855084,false,36,2,0,31.714285714285715,1.2857142857142858,0.0,1.9406129318133303,0.10781182954518502,0.0,10.888994784063687,0.48515323295333257,0.0,8726,1423,359
2020-08-27,capital,28,1855084,false,23,0,0,35.57142857142857,1.4285714285714286,0.0,1.2398360397696278,0.0,0.0,10.835088869291095,0.4312473181807401,0.0,8749,1423,359
2020-08-28,capital,29,1855084,false,42,2,0,41.42857142857143,1.5714285714285714,0.0,2.2640484204488853,0.10781182954518502,0.0,11.535865761334795,0.539059147725925,0.0,8791,1425,359
2020-08-29,capital,30,1855084,false,37,1,0,49.285714285714285,1.4285714285714286,0.0,1.9945188465859227,0.05390591477259251,0.0,11.967113079515537,0.48515323295333257,0.0,8828,1426,359
2020-08-30,capital,31,1855084,false,50,2,0,56.285714285714285,1.4285714285714286,0.0,2.6952957386296252,0.10781182954518502,0.0,13.422572778375535,0.539059147725925,0.0,8878,1428,359
2020-08-31,capital,32,1855084,false,66,2,0,69.42857142857143,1.7142857142857142,0.0,3.5577903749911055,0.10781182954518502,0.0,15.632715284051828,0.5929650624985177,0.0,8944,1430,359
2020-09-01,capital,33,1855084,false,91,1,0,79.71428571428571,2.0,0.0,4.905438244305919,0.05390591477259251,0.0,18.597540596544416,0.539059147725925,0.0,9035,1431,359
2020-09-02,capital,34,1855084,false,85,2,0,89.14285714285714,2.5714285714285716,0.0,4.582002755670364,0.10781182954518502,0.0,21.23893042040145,0.539059147725925,0.0,9120,1433,359
2020-09-03,capital,35,1855084,false,115,2,0,103.57142857142857,3.142857142857143,0.14285714285714285,6.199180198848139,0.10781182954518502,0.0,26.198274579479957,0.6468709772711101,0.0,9235,1435,359
2020-09-04,capital,36,1855084,false,114,4,0,116.71428571428571,3.5714285714285716,0.14285714285714285,6.145274284075545,0.21562365909037004,0.0,30.07950044310662,0.7546828068162952,0.0,9349,1439,359
2020-09-05,capital,37,1855084,false,103,5,0,126.14285714285714,3.7142857142857144,0.14285714285714285,5.552309221577028,0.2695295738629625,0.0,33.637290818097725,0.9703064659066651,0.0,9452,1444,359
2020-09-06,capital,38,1855084,false,151,6,1,136.42857142857142,4.571428571428571,0.14285714285714285,8.139793130661468,0.32343548863555505,0.05390591477259251,39.08178821012957,1.1859301249970353,0.05390591477259251,9603,1450,360
2020-09-07,capital,39,1855084,false,158,5,0,148.14285714285714,5.714285714285714,0.14285714285714285,8.517134534069616,0.2695295738629625,0.0,44.04113236920808,1.3476478693148126,0.05390591477259251,9761,1455,360
2020-09-08,capital,40,1855084,false,157,2,0,156.0,5.714285714285714,0.14285714285714285,8.463228619297023,0.10781182954518502,0.0,47.598922744199186,1.401553784087405,0.05390591477259251,9918,1457,360
2020-09-09,capital,41,1855084,false,157,8,0,166.14285714285714,6.428571428571429,0.2857142857142857,8.463228619297023,0.4312473181807401,0.0,51.480148607825846,1.7249892727229603,0.05390591477259251,10075,1465,360
2020-09-10,capital,42,1855084,false,197,10,0,168.71428571428572,6.285714285714286,0.42857142857142855,10.619465210200724,0.539059147725925,0.0,55.90043361917842,2.1562365909037,0.05390591477259251,10272,1475,360
2020-09-11,capital,43,1855084,false,169,4,0,177.85714285714286,6.571428571428571,0.42857142857142855,9.110099596568134,0.21562365909037004,0.0,58.865258931671015,2.1562365909037,0.05390591477259251,10441,1479,360
2020-09-12,capital,44,1855084,false,174,10,1,189.71428571428572,7.571428571428571,0.5714285714285714,9.379629170431096,0.539059147725925,0.05390591477259251,62.69257888052509,2.425766164766663,0.10781182954518502,10615,1489,361
2020-09-13,capital,45,1855084,false,169,5,2,211.0,8.142857142857142,0.5714285714285714,9.110099596568134,0.2695295738629625,0.10781182954518502,63.66288534643175,2.3718602499940706,0.16171774431777752,10784,1494,363
2020-09-14,capital,46,1855084,false,222,7,0,227.42857142857142,7.142857142857143,0.5714285714285714,11.967113079515537,0.3773414034081476,0.0,67.11286389187767,2.4796720795392555,0.16171774431777752,11006,1501,363
2020-09-15,capital,47,1855084,false,240,9,1,240.42857142857142,7.857142857142857,0.5714285714285714,12.9374195454222,0.48515323295333257,0.05390591477259251,71.58705481800284,2.8570134829474028,0.21562365909037004,11246,1510,364
2020-09-16,capital,48,1855084,false,306,12,0,248.14285714285714,7.857142857142857,0.8571428571428571,16.49520992041331,0.6468709772711101,0.0,79.61903611911913,3.0726371420377725,0.21562365909037004,11552,1522,364
2020-09-17,capital,49,1855084,false,312,3,0,256.42857142857144,9.0,0.8571428571428571,16.818645409048862,0.16171774431777752,0.0,85.81821631796727,2.6952957386296252,0.21562365909037004,11864,1525,364
2020-09-18,capital,50,1855084,false,260,9,0,267.2857142857143,9.428571428571429,1.0,14.015537840874053,0.48515323295333257,0.0,90.7236545622732,2.964825312492588,0.21562365909037004,12124,1534,364
2020-09-19,capital,51,1855084,false,228,10,3,276.0,9.428571428571429,1.0,12.29054856815109,0.539059147725925,0.16171774431777752,93.63457395999319,2.964825312492588,0.32343548863555505,12352,1544,367
