"Region";"Dato";"Døde";"Kummuleret antal døde"
;2020-02-26;0;0
;2020-02-27;0;0
;2020-02-28;0;0
;2020-03-01;0;0
;2020-03-02;0;0
;2020-03-03;0;0
;2020-03-04;0;0
;2020-03-05;0;0
;2020-03-06;0;0
;2020-03-07;0;0
;2020-03-08;0;0
;2020-03-09;0;0
;2020-03-10;0;0
;2020-03-11;0;0
;2020-03-12;0;0
;2020-03-13;0;0
Hovedstaden;2020-03-14;1;1
Midtjylland;2020-03-15;1;2
Hovedstaden;2020-03-15;1;3
Hovedstaden;2020-03-16;1;4
Hovedstaden;2020-03-17;1;5
Sjælland;2020-03-18;1;6
Hovedstaden;2020-03-18;2;8
Hovedstaden;2020-03-19;3;11
Midtjylland;2020-03-19;2;13
Syddanmark;2020-03-20;1;14
Sjælland;2020-03-20;1;15
Hovedstaden;2020-03-20;2;17
Hovedstaden;2020-03-21;3;20
Midtjylland;2020-03-22;1;21
Hovedstaden;2020-03-22;2;23
Sjælland;2020-03-23;1;24
Hovedstaden;2020-03-23;4;28
Midtjylland;2020-03-23;1;29
Nordjylland;2020-03-24;1;30
Sjælland;2020-03-24;4;34
Hovedstaden;2020-03-24;1;35
Syddanmark;2020-03-25;1;36
Sjælland;2020-03-25;2;38
Hovedstaden;2020-03-25;2;40
Midtjylland;2020-03-25;1;41
Hovedstaden;2020-03-26;6;47
Sjælland;2020-03-26;3;50
Syddanmark;2020-03-26;1;51
Hovedstaden;2020-03-27;7;58
Nordjylland;2020-03-27;1;59
Syddanmark;2020-03-27;2;61
Sjælland;2020-03-27;2;63
Syddanmark;2020-03-28;1;64
Midtjylland;2020-03-28;2;66
Nordjylland;2020-03-28;1;67
Hovedstaden;2020-03-28;4;71
Sjælland;2020-03-28;1;72
Midtjylland;2020-03-29;2;74
Syddanmark;2020-03-29;3;77
Hovedstaden;2020-03-29;2;79
Nordjylland;2020-03-29;1;80
Hovedstaden;2020-03-30;6;86
Midtjylland;2020-03-30;1;87
Sjælland;2020-03-30;4;91
Syddanmark;2020-03-31;1;92
Nordjylland;2020-03-31;2;94
Sjælland;2020-03-31;3;97
Hovedstaden;2020-03-31;8;105
Midtjylland;2020-03-31;1;106
Syddanmark;2020-04-01;1;107
Sjælland;2020-04-01;5;112
Nordjylland;2020-04-01;1;113
Hovedstaden;2020-04-01;13;126
Midtjylland;2020-04-01;2;128
Sjælland;2020-04-02;4;132
Nordjylland;2020-04-02;1;133
Hovedstaden;2020-04-02;9;142
Midtjylland;2020-04-02;4;146
Syddanmark;2020-04-03;1;147
Hovedstaden;2020-04-03;14;161
Sjælland;2020-04-03;4;165
Midtjylland;2020-04-03;1;166
Sjælland;2020-04-04;2;168
Hovedstaden;2020-04-04;7;175
Nordjylland;2020-04-04;1;176
Midtjylland;2020-04-04;5;181
Midtjylland;2020-04-05;2;183
Syddanmark;2020-04-05;1;184
Nordjylland;2020-04-05;1;185
Hovedstaden;2020-04-05;6;191
Sjælland;2020-04-05;2;193
Sjælland;2020-04-06;2;195
Hovedstaden;2020-04-06;11;206
Syddanmark;2020-04-06;4;210
Hovedstaden;2020-04-07;11;221
Nordjylland;2020-04-07;1;222
Hovedstaden;2020-04-08;8;230
Nordjylland;2020-04-08;1;231
Midtjylland;2020-04-08;2;233
Sjælland;2020-04-08;4;237
Midtjylland;2020-04-09;3;240
Hovedstaden;2020-04-09;7;247
Sjælland;2020-04-09;1;248
Nordjylland;2020-04-09;1;249
Hovedstaden;2020-04-10;10;259
