"Region";"Dato";"Bekræftede tilfælde"
Sjælland;2020-02-26;1
Hovedstaden;2020-02-27;1
Midtjylland;2020-02-28;1
Hovedstaden;2020-03-01;1
Hovedstaden;2020-03-02;2
Sjælland;2020-03-02;1
Syddanmark;2020-03-02;1
Hovedstaden;2020-03-03;4
Hovedstaden;2020-03-04;2
Sjælland;2020-03-04;1
Hovedstaden;2020-03-05;10
Nordjylland;2020-03-06;1
Sjælland;2020-03-06;1
Hovedstaden;2020-03-07;8
Midtjylland;2020-03-07;1
Hovedstaden;2020-03-08;12
Midtjylland;2020-03-08;22
Nordjylland;2020-03-08;1
Sjælland;2020-03-08;4
Syddanmark;2020-03-08;9
Hovedstaden;2020-03-09;71
Midtjylland;2020-03-09;45
Nordjylland;2020-03-09;8
Sjælland;2020-03-09;37
Syddanmark;2020-03-09;49
Hovedstaden;2020-03-10;116
Midtjylland;2020-03-10;72
Nordjylland;2020-03-10;13
Sjælland;2020-03-10;27
Syddanmark;2020-03-10;27
Hovedstaden;2020-03-11;88
Midtjylland;2020-03-11;25
Nordjylland;2020-03-11;23
Sjælland;2020-03-11;27
Syddanmark;2020-03-11;43
Hovedstaden;2020-03-12;18
Midtjylland;2020-03-12;8
Nordjylland;2020-03-12;1
Sjælland;2020-03-12;6
Syddanmark;2020-03-12;8
Hovedstaden;2020-03-13;21
Midtjylland;2020-03-13;7
Nordjylland;2020-03-13;1
Sjælland;2020-03-13;3
Syddanmark;2020-03-13;1
Hovedstaden;2020-03-14;16
Midtjylland;2020-03-14;6
Nordjylland;2020-03-14;3
Sjælland;2020-03-14;7
Syddanmark;2020-03-14;5
Hovedstaden;2020-03-15;25
Midtjylland;2020-03-15;4
Nordjylland;2020-03-15;3
Sjælland;2020-03-15;10
Syddanmark;2020-03-15;3
Hovedstaden;2020-03-16;50
Midtjylland;2020-03-16;2
Nordjylland;2020-03-16;1
Sjælland;2020-03-16;15
Syddanmark;2020-03-16;6
Hovedstaden;2020-03-17;49
Midtjylland;2020-03-17;7
Nordjylland;2020-03-17;4
Sjælland;2020-03-17;10
Syddanmark;2020-03-17;6
Hovedstaden;2020-03-18;48
Midtjylland;2020-03-18;11
Nordjylland;2020-03-18;6
Sjælland;2020-03-18;14
Syddanmark;2020-03-18;4
Hovedstaden;2020-03-19;55
Midtjylland;2020-03-19;24
Nordjylland;2020-03-19;5
Sjælland;2020-03-19;6
Syddanmark;2020-03-19;16
Hovedstaden;2020-03-20;55
Midtjylland;2020-03-20;9
Nordjylland;2020-03-20;5
Sjælland;2020-03-20;19
Syddanmark;2020-03-20;14
Hovedstaden;2020-03-21;28
Midtjylland;2020-03-21;5
Nordjylland;2020-03-21;1
Sjælland;2020-03-21;8
Syddanmark;2020-03-21;6
Hovedstaden;2020-03-22;35
Midtjylland;2020-03-22;9
Nordjylland;2020-03-22;2
Sjælland;2020-03-22;11
Syddanmark;2020-03-22;5
Hovedstaden;2020-03-23;72
Midtjylland;2020-03-23;21
Nordjylland;2020-03-23;10
Sjælland;2020-03-23;17
Syddanmark;2020-03-23;11
Hovedstaden;2020-03-24;74
Midtjylland;2020-03-24;16
Nordjylland;2020-03-24;7
Sjælland;2020-03-24;18
Syddanmark;2020-03-24;23
Hovedstaden;2020-03-25;73
Midtjylland;2020-03-25;22
Nordjylland;2020-03-25;8
Sjælland;2020-03-25;29
Syddanmark;2020-03-25;19
Hovedstaden;2020-03-26;89
Midtjylland;2020-03-26;27
Nordjylland;2020-03-26;12
Sjælland;2020-03-26;19
Syddanmark;2020-03-26;23
Hovedstaden;2020-03-27;121
Midtjylland;2020-03-27;25
Nordjylland;2020-03-27;10
Sjælland;2020-03-27;28
Syddanmark;2020-03-27;31
Hovedstaden;2020-03-28;121
Midtjylland;2020-03-28;21
Nordjylland;2020-03-28;11
Sjælland;2020-03-28;24
Syddanmark;2020-03-28;23
Hovedstaden;2020-03-29;83
Midtjylland;2020-03-29;8
Nordjylland;2020-03-29;9
Sjælland;2020-03-29;15
Syddanmark;2020-03-29;12
Hovedstaden;2020-03-30;161
Midtjylland;2020-03-30;41
Nordjylland;2020-03-30;11
Sjælland;2020-03-30;56
Syddanmark;2020-03-30;40
Hovedstaden;2020-03-31;124
Midtjylland;2020-03-31;50
Nordjylland;2020-03-31;18
Sjælland;2020-03-31;38
Syddanmark;2020-03-31;24
Hovedstaden;2020-04-01;140
Midtjylland;2020-04-01;54
Nordjylland;2020-04-01;16
Sjælland;2020-04-01;33
Syddanmark;2020-04-01;36
Hovedstaden;2020-04-02;186
Midtjylland;2020-04-02;50
Nordjylland;2020-04-02;26
Sjælland;2020-04-02;65
Syddanmark;2020-04-02;53
Hovedstaden;2020-04-03;258
Midtjylland;2020-04-03;71
Nordjylland;2020-04-03;28
Sjælland;2020-04-03;52
Syddanmark;2020-04-03;62
Hovedstaden;2020-04-04;213
Midtjylland;2020-04-04;30
Nordjylland;2020-04-04;8
Sjælland;2020-04-04;26
Syddanmark;2020-04-04;16
Hovedstaden;2020-04-05;102
Midtjylland;2020-04-05;20
Nordjylland;2020-04-05;5
Sjælland;2020-04-05;18
Syddanmark;2020-04-05;12
Hovedstaden;2020-04-06;221
Midtjylland;2020-04-06;71
Nordjylland;2020-04-06;21
Sjælland;2020-04-06;63
Syddanmark;2020-04-06;47
Hovedstaden;2020-04-07;182
Midtjylland;2020-04-07;66
Nordjylland;2020-04-07;9
Sjælland;2020-04-07;53
Syddanmark;2020-04-07;35
Hovedstaden;2020-04-08;166
Midtjylland;2020-04-08;50
Nordjylland;2020-04-08;7
Sjælland;2020-04-08;52
Syddanmark;2020-04-08;19
Hovedstaden;2020-04-09;74
Midtjylland;2020-04-09;23
Nordjylland;2020-04-09;8
Sjælland;2020-04-09;19
Syddanmark;2020-04-09;12
Hovedstaden;2020-04-10;88
Midtjylland;2020-04-10;17
Nordjylland;2020-04-10;7
Sjælland;2020-04-10;21
Syddanmark;2020-04-10;7
Hovedstaden;2020-04-11;74
Midtjylland;2020-04-11;34
Nordjylland;2020-04-11;2
Sjælland;2020-04-11;15
Syddanmark;2020-04-11;14
Hovedstaden;2020-04-12;95
Midtjylland;2020-04-12;21
Nordjylland;2020-04-12;8
Sjælland;2020-04-12;19
Syddanmark;2020-04-12;13
Hovedstaden;2020-04-13;96
Midtjylland;2020-04-13;31
Nordjylland;2020-04-13;5
Sjælland;2020-04-13;18
Syddanmark;2020-04-13;6
Hovedstaden;2020-04-14;134
Midtjylland;2020-04-14;46
Nordjylland;2020-04-14;2
Sjælland;2020-04-14;51
Syddanmark;2020-04-14;25
Hovedstaden;2020-04-15;119
Midtjylland;2020-04-15;27
Nordjylland;2020-04-15;8
Sjælland;2020-04-15;30
Syddanmark;2020-04-15;14
Hovedstaden;2020-04-16;90
Midtjylland;2020-04-16;42
Nordjylland;2020-04-16;5
Sjælland;2020-04-16;24
Syddanmark;2020-04-16;17
Hovedstaden;2020-04-17;88
Midtjylland;2020-04-17;23
Nordjylland;2020-04-17;4
Sjælland;2020-04-17;43
Syddanmark;2020-04-17;10
Hovedstaden;2020-04-18;60
Midtjylland;2020-04-18;17
Nordjylland;2020-04-18;2
Sjælland;2020-04-18;22
Syddanmark;2020-04-18;3
Hovedstaden;2020-04-19;61
Midtjylland;2020-04-19;15
Nordjylland;2020-04-19;2
Sjælland;2020-04-19;29
Syddanmark;2020-04-19;4
Hovedstaden;2020-04-20;139
Midtjylland;2020-04-20;26
Nordjylland;2020-04-20;6
Sjælland;2020-04-20;36
Syddanmark;2020-04-20;6
Hovedstaden;2020-04-21;119
Midtjylland;2020-04-21;18
Nordjylland;2020-04-21;5
Sjælland;2020-04-21;46
Syddanmark;2020-04-21;12
Hovedstaden;2020-04-22;153
Midtjylland;2020-04-22;32
Nordjylland;2020-04-22;5
Sjælland;2020-04-22;34
Syddanmark;2020-04-22;2
Hovedstaden;2020-04-23;138
Midtjylland;2020-04-23;32
Nordjylland;2020-04-23;3
Sjælland;2020-04-23;50
Syddanmark;2020-04-23;8
Hovedstaden;2020-04-24;95
Midtjylland;2020-04-24;27
Nordjylland;2020-04-24;2
Sjælland;2020-04-24;35
Syddanmark;2020-04-24;5
Hovedstaden;2020-04-25;69
Midtjylland;2020-04-25;29
Nordjylland;2020-04-25;5
Sjælland;2020-04-25;23
Syddanmark;2020-04-25;8
Hovedstaden;2020-04-26;75
Midtjylland;2020-04-26;15
Nordjylland;2020-04-26;4
Sjælland;2020-04-26;18
Syddanmark;2020-04-26;7
Hovedstaden;2020-04-27;129
Midtjylland;2020-04-27;18
Nordjylland;2020-04-27;5
Sjælland;2020-04-27;61
Syddanmark;2020-04-27;4
Hovedstaden;2020-04-28;83
Midtjylland;2020-04-28;24
Sjælland;2020-04-28;29
Hovedstaden;2020-04-29;92
Midtjylland;2020-04-29;17
Nordjylland;2020-04-29;3
Sjælland;2020-04-29;21
Syddanmark;2020-04-29;6
Hovedstaden;2020-04-30;95
Midtjylland;2020-04-30;13
Nordjylland;2020-04-30;5
Sjælland;2020-04-30;31
Syddanmark;2020-04-30;2
Hovedstaden;2020-05-01;83
Midtjylland;2020-05-01;16
Nordjylland;2020-05-01;19
Sjælland;2020-05-01;25
Syddanmark;2020-05-01;5
Hovedstaden;2020-05-02;58
Midtjylland;2020-05-02;20
Nordjylland;2020-05-02;2
Sjælland;2020-05-02;29
Syddanmark;2020-05-02;6
Hovedstaden;2020-05-03;50
Midtjylland;2020-05-03;10
Nordjylland;2020-05-03;2
Sjælland;2020-05-03;11
Syddanmark;2020-05-03;5
Hovedstaden;2020-05-04;79
Midtjylland;2020-05-04;8
Sjælland;2020-05-04;29
Syddanmark;2020-05-04;4
Hovedstaden;2020-05-05;72
Midtjylland;2020-05-05;8
Nordjylland;2020-05-05;2
Sjælland;2020-05-05;35
Syddanmark;2020-05-05;5
Hovedstaden;2020-05-06;82
Midtjylland;2020-05-06;6
Sjælland;2020-05-06;15
Syddanmark;2020-05-06;2
Hovedstaden;2020-05-07;76
Midtjylland;2020-05-07;10
Nordjylland;2020-05-07;1
Sjælland;2020-05-07;32
Syddanmark;2020-05-07;3
Hovedstaden;2020-05-08;52
Midtjylland;2020-05-08;5
Sjælland;2020-05-08;9
Syddanmark;2020-05-08;3
Hovedstaden;2020-05-09;48
Midtjylland;2020-05-09;4
Nordjylland;2020-05-09;1
Sjælland;2020-05-09;11
Hovedstaden;2020-05-10;38
Midtjylland;2020-05-10;3
Nordjylland;2020-05-10;4
Sjælland;2020-05-10;8
Syddanmark;2020-05-10;4
Hovedstaden;2020-05-11;50
Midtjylland;2020-05-11;3
Nordjylland;2020-05-11;1
Sjælland;2020-05-11;12
Syddanmark;2020-05-11;12
Hovedstaden;2020-05-12;35
Midtjylland;2020-05-12;1
Nordjylland;2020-05-12;1
Sjælland;2020-05-12;10
Syddanmark;2020-05-12;9
Hovedstaden;2020-05-13;41
