date,region,apple_driving,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google_transit,google,telco
2020-06-01,capital,111.6,95.0,103.3,62,72,22,113,56,53.0,1.0706588265718685e7
2020-06-02,capital,120.97,102.54,111.755,104,120,74,105,74,93.0,1.4544004672867492e7
2020-06-03,capital,120.66,101.29,110.975,97,106,74,107,69,86.5,1.4143879024235517e7
2020-06-04,capital,118.46,101.14,109.8,99,111,74,106,70,88.5,1.4541912262159126e7
2020-06-05,capital,106.42,96.83,101.625,58,67,35,117,53,53.25,1.1643160118827889e7
2020-06-06,capital,104.01,94.85,99.43,85,107,101,103,64,89.25,1.1238613849630302e7
2020-06-07,capital,107.22,87.56,97.39,92,94,106,101,68,90.0,1.066754717438798e7
2020-06-08,capital,115.82,95.32,105.57,98,97,74,107,69,84.5,1.4053508528412754e7
2020-06-09,capital,120.02,99.75,109.88499999999999,97,102,75,107,72,86.5,1.719256539183497e7
2020-06-10,capital,122.77,104.56,113.66499999999999,97,99,75,107,71,85.5,1.5388903197061157e7
2020-06-11,capital,124.46,103.06,113.75999999999999,96,100,75,107,68,84.75,1.4626330419297129e7
2020-06-12,capital,129.33,119.83,124.58000000000001,90,97,75,106,70,83.0,1.5085777864854705e7
2020-06-13,capital,115.05,114.19,114.62,85,97,108,100,74,91.0,1.253958312918729e7
2020-06-14,capital,113.37,92.03,102.7,96,97,112,99,72,94.25,1.1876865308028871e7
2020-06-15,capital,125.04,106.16,115.6,105,101,76,104,74,89.0,1.4756929763233095e7
2020-06-16,capital,128.69,107.92,118.305,102,104,77,105,77,90.0,1.4969464746723393e7
2020-06-17,capital,133.72,115.05,124.38499999999999,103,101,77,104,76,89.25,1.5075991907310544e7
2020-06-18,capital,134.72,111.93,123.325,100,101,76,104,72,87.25,1.494985441193704e7
2020-06-19,capital,133.34,121.8,127.57,91,97,75,104,72,83.75,1.4673418875550622e7
2020-06-20,capital,116.3,106.14,111.22,82,95,103,101,69,87.25,1.1373784591970624e7
2020-06-21,capital,116.58,87.75,102.16499999999999,92,94,105,100,66,89.25,1.0546342915918153e7
2020-06-22,capital,132.08,109.21,120.64500000000001,105,99,74,104,73,87.75,1.4278524778448975e7
2020-06-23,capital,141.72,119.04,130.38,104,104,75,102,79,90.5,1.5178521158052482e7
2020-06-24,capital,145.33,125.75,135.54000000000002,103,100,77,103,77,89.25,1.5373746326160794e7
2020-06-25,capital,146.41,126.57,136.49,104,104,76,102,78,90.5,1.56904921472469e7
